,ID,N_VICTIMAS,FECHA,HH,TIPO_DE_CALLE,COMUNA,LATITUD,LONGITUD,VICTIMA,ACUSADO,AFECTADO_1,AFECTADO_2,FRANJA_HORA,GRAVEDAD
0,2016-0001,1,2016-01-01,4.0,AVENIDA,8,-58.47533969,-34.68757022,MOTO,AUTO,MOTO,AUTO,,
1,2016-0002,1,2016-01-02,1.0,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO,PASAJEROS,AUTO,PASAJEROS,,
2,2016-0003,1,2016-01-03,7.0,AVENIDA,1,-58.39040293,-34.63189362,MOTO,AUTO,MOTO,AUTO,,
3,2016-0004,1,2016-01-10,0.0,AVENIDA,8,-58.46503904,-34.68092974,MOTO,,MOTO,SD,,
4,2016-0005,1,2016-01-21,5.0,AVENIDA,1,-58.38718297,-34.62246630,MOTO,PASAJEROS,MOTO,PASAJEROS,,
5,2016-0008,1,2016-01-24,18.0,AVENIDA,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,MOTO,OBJETO FIJO,,
6,2016-0009,1,2016-01-24,19.0,CALLE,11,-58.50095869,-34.60825440,MOTO,AUTO,MOTO,AUTO,,
7,2016-0010,1,2016-01-29,15.0,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO,AUTO,MOTO,AUTO,,
8,2016-0012,1,2016-02-08,1.0,AVENIDA,1,-58.38048577,-34.61303893,MOTO,CARGAS,MOTO,CARGAS,,
9,2016-0013,1,2016-02-10,11.0,AVENIDA,1,-58.39114932,-34.62477387,PEATON,AUTO,PEATON,AUTO,,
10,2016-0015,1,2016-02-14,5.0,AVENIDA,15,-58.43760020,-34.59912758,PEATON,AUTO,PEATON,AUTO,,
11,2016-0016,1,2016-02-14,22.0,AVENIDA,4,-58.36882665,-34.64291993,MOTO,AUTO,MOTO,AUTO,,
12,2016-0017,1,2016-02-15,16.0,AVENIDA,8,-58.44989671,-34.65970435,PEATON,MOTO,PEATON,MOTO,,
13,2016-0019,1,2016-02-17,9.0,CALLE,9,-58.50990884,-34.65468721,PEATON,PASAJEROS,PEATON,PASAJEROS,,
14,2016-0020,1,2016-02-17,16.0,CALLE,1,-58.37952223,-34.60653282,PEATON,AUTO,PEATON,AUTO,,
15,2016-0021,1,2016-02-17,23.0,AVENIDA,7,-58.45157703,-34.63063795,AUTO,AUTO,AUTO,AUTO,,
16,2016-0022,1,2016-02-21,6.0,AVENIDA,1,-58.38144696,-34.61079875,MOTO,AUTO,MOTO,AUTO,,
17,2016-0025,1,2016-02-28,4.0,GRAL PAZ,8,-58.46244952,-34.70524971,AUTO,AUTO,AUTO,AUTO,,
18,2016-0026,1,2016-02-28,7.0,CALLE,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,AUTO,OBJETO FIJO,,
19,2016-0027,1,2016-02-28,9.0,AVENIDA,7,-58.44497874,-34.63852623,AUTO,AUTO,AUTO,AUTO,,
20,2016-0028,1,2016-03-02,10.0,AVENIDA,1,-58.38199706,-34.60028648,PEATON,CARGAS,PEATON,CARGAS,,
21,2016-0029,1,2016-03-04,17.0,AVENIDA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,PEATON,PASAJEROS,,
22,2016-0031,1,2016-03-08,12.0,GRAL PAZ,8,-58.47064556,-34.69843756,MOTO,PASAJEROS,MOTO,PASAJEROS,,
23,2016-0034,1,2016-03-12,12.0,AVENIDA,4,-58.40623949,-34.65076549,PEATON,PASAJEROS,PEATON,PASAJEROS,,
24,2016-0035,1,2016-03-13,6.0,AVENIDA,3,-58.39228965,-34.60443527,MOTO,PASAJEROS,MOTO,PASAJEROS,,
25,2016-0036,1,2016-03-14,0.0,CALLE,4,-58.37813396,-34.63668504,MOTO,PASAJEROS,MOTO,PASAJEROS,,
26,2016-0037,1,2016-03-19,11.0,AVENIDA,7,-58.46275892,-34.64358293,MOTO,MOTO,MOTO,MOTO,,
27,2016-0038,1,2016-03-21,8.0,GRAL PAZ,8,-58.49683458,-34.67892743,PEATON,PASAJEROS,PEATON,PASAJEROS,,
28,2016-0039,1,2016-03-23,1.0,AVENIDA,3,-58.40603217,-34.60883960,MOTO,PASAJEROS,MOTO,PASAJEROS,,
29,2016-0041,2,2016-03-29,11.0,AVENIDA,7,-58.46076550,-34.63350444,MOTO,CARGAS,MOTO,CARGAS,,
30,2016-0043,1,2016-03-30,18.0,AVENIDA,8,-58.47832463,-34.67494416,PEATON,CARGAS,PEATON,CARGAS,,
31,2016-0044,1,2016-03-31,19.0,AVENIDA,7,-58.43213235,-34.63693953,MOTO,MULTIPLE,MULTIPLE,,,
32,2016-0045,1,2016-04-11,10.0,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO,,MOTO,SD,,
33,2016-0047,1,2016-04-15,5.0,CALLE,1,-58.38247061,-34.62571878,PEATON,PASAJEROS,PEATON,PASAJEROS,,
34,2016-0048,1,2016-04-15,17.0,AVENIDA,15,-58.44759966,-34.59170240,PEATON,PASAJEROS,PEATON,PASAJEROS,,
35,2016-0049,1,2016-04-17,0.0,AUTOPISTA,4,-58.37714647568196,-34.63657525428238,,,SD,SD,,
36,2016-0050,1,2016-04-19,9.0,AVENIDA,8,-58.47305463,-34.68550712,PEATON,PASAJEROS,PEATON,PASAJEROS,,
37,2016-0051,1,2016-04-20,4.0,AVENIDA,4,-58.40623949,-34.65076549,MOTO,CARGAS,MOTO,CARGAS,,
38,2016-0052,1,2016-04-20,20.0,AUTOPISTA,13,.,.,MOTO,,MOTO,SD,,
39,2016-0053,1,2016-04-22,9.0,AVENIDA,12,-58.48429180,-34.57558053,PEATON,PASAJEROS,PEATON,PASAJEROS,,
40,2016-0054,1,2016-04-23,21.0,AUTOPISTA,8,-58.48695354,-34.68795245,MOTO,MOTO,MOTO,MOTO,,
41,2016-0055,1,2016-04-25,20.0,AVENIDA,14,-58.40021959,-34.57964781,PEATON,CARGAS,PEATON,CARGAS,,
